old_code,canonical_new_code
,MT04-GYHG-X213-001
HW10-GYHG-AZI-001,HW10-GYHG-AZI-001
HW10-GYHG-CMX-001,HW10-GYHG-CMX-001
HW10-GYHG-ISIV-001,HW10-GYHG-X222-001
HW10-GYHG-ISYH-001,HW10-GYHG-X065-001
HW10-GYHG-X011-001,HW10-GYHG-X011-001
HW10-GYHG-X038-001,HW10-GYHG-X038-001
HW10-GYHG-X03D-001,HW10-GYHG-X03D-001
HW10-GYHG-X04C-001,HW10-GYHG-X04C-001
HW10-GYHG-X067-001,HW10-GYHG-X067-001
HW10-GYHG-X0FA-001,HW10-GYHG-X0FA-001
HW10-GYHG-X12D-001,HW10-GYHG-X12D-001
HW10-GYHG-X16C-001,HW10-GYHG-X16C-001
HW10-GYHG-X173-001,HW10-GYHG-X173-001
HW10-GYHG-X194-001,HW10-GYHG-X194-001
HW10-GYHG-X19B-001,HW10-GYHG-X19B-001
HW10-GYHG-X19E-001,HW10-GYHG-X19E-001
HW10-GYHG-X1B4-001,HW10-GYHG-X1B4-001
HW10-GYHG-X1BA-001,HW10-GYHG-X1BA-001
HW10-GYHG-X1C6-001,HW10-GYHG-X1C6-001
HW10-GYHG-X205-001,HW10-GYHG-X205-001
HW10-GYHG-X22A-001,HW10-GYHG-X22A-001
HW10-GYHG-X244-001,HW10-GYHG-X244-001
HW10-GYHG-X262-001,HW10-GYHG-X262-001
HW10-GYHG-X262-002,HW10-GYHG-X262-002
HW10-GYHG-X2CA-001,HW10-GYHG-X2CA-001
HW10-GYHG-X2CE-001,HW10-GYHG-X2CE-001
HW10-GYHG-X2D9-001,HW10-GYHG-X2D9-001
HW10-GYHG-X30B-001,HW10-GYHG-X30B-001
HW10-GYHG-X30F-001,HW10-GYHG-X30F-001
HW10-GYHG-X330-001,HW10-GYHG-X330-001
HW10-GYHG-X369-001,HW10-GYHG-X369-001
HW10-GYHG-X392-001,HW10-GYHG-X392-001
HW10-GYHG-X3A6-001,HW10-GYHG-X3A6-001
HW10-GYHG-X3DA-001,HW10-GYHG-X3DA-001
HW10-GYHG-X3E7-001,HW10-GYHG-X3E7-001
HW10-GYHG-X412-001,HW10-GYHG-X412-001
HW10-GYHG-X41F-001,HW10-GYHG-X41F-001
HW10-GYHG-X46A-001,HW10-GYHG-X46A-001
HW10-GYHG-X47C-001,HW10-GYHG-X47C-001
HW10-GYHG-X491-001,HW10-GYHG-X491-001
HW10-GYHG-X4AF-001,HW10-GYHG-X4AF-001
HW10-GYHG-X4B0-001,HW10-GYHG-X4B0-001
HW10-GYHG-X516-001,HW10-GYHG-X516-001
HW10-GYHG-X51A-001,HW10-GYHG-X51A-001
HW10-GYHG-X51B-001,HW10-GYHG-X51B-001
HW10-GYHG-X51C-001,HW10-GYHG-X51C-001
HW10-GYHG-X54F-001,HW10-GYHG-X54F-001
HW10-GYHG-X558-001,HW10-GYHG-X558-001
HW10-GYHG-X5B0-001,HW10-GYHG-X5B0-001
HW10-GYHG-X5CC-001,HW10-GYHG-X5CC-001
HW10-GYHG-X5FB-001,HW10-GYHG-X5FB-001
HW10-GYHG-X600-001,HW10-GYHG-X600-001
HW10-GYHG-X613-001,HW10-GYHG-X613-001
HW10-GYHG-X61B-001,HW10-GYHG-X61B-001
HW10-GYHG-X664-001,HW10-GYHG-X664-001
HW10-GYHG-X6A1-001,HW10-GYHG-X6A1-001
HW10-GYHG-X6A8-001,HW10-GYHG-X6A8-001
HW10-GYHG-X6D1-001,HW10-GYHG-X6D1-001
HW10-GYHG-X709-001,HW10-GYHG-X709-001
HW10-GYHG-X70C-001,HW10-GYHG-X70C-001
HW10-GYHG-X721-001,HW10-GYHG-X721-001
HW10-GYHG-X733-001,HW10-GYHG-X733-001
HW10-GYHG-X737-001,HW10-GYHG-X737-001
HW10-GYHG-X752-001,HW10-GYHG-X752-001
HW10-GYHG-X768-001,HW10-GYHG-X768-001
HW10-GYHG-X777-001,HW10-GYHG-X777-001
HW10-GYHG-X785-001,HW10-GYHG-X785-001
HW10-GYHG-X7A9-001,HW10-GYHG-X7A9-001
HW10-GYHG-X7C5-001,HW10-GYHG-X7C5-001
HW10-GYHG-X7D0-001,HW10-GYHG-X7D0-001
HW10-GYHG-X834-001,HW10-GYHG-X834-001
HW10-GYHG-X851-001,HW10-GYHG-X851-001
HW10-GYHG-X85B-001,HW10-GYHG-X85B-001
HW10-GYHG-X85C-001,HW10-GYHG-X85C-001
HW10-GYHG-X872-001,HW10-GYHG-X872-001
HW10-GYHG-X875-001,HW10-GYHG-X875-001
HW10-GYHG-X891-001,HW10-GYHG-X891-001
HW10-GYHG-X89D-001,HW10-GYHG-X89D-001
HW10-GYHG-X8BA-001,HW10-GYHG-X8BA-001
HW10-GYHG-X8C2-001,HW10-GYHG-X8C2-001
