id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate,code_before_cleanup
6,HW10-GYHG-ALX-001,灯带-线型灯AL-1510,null,null,米,五金杂件及工程灯具,仁力烨升自品牌,9405110000,null,null,null,null,依据图纸确定,依据图纸确定,依据图纸确定,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-ALX-001.png,HW10-GYHG-ALX-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWELI-006
7,HW10-GYHG-X2C2-001,灯带-线型灯灯带,null,null,个,五金杂件及工程灯具,仁力烨升自品牌,9405500000,null,null,null,null,依据图纸确定,依据图纸确定,依据图纸确定,null,五金杂件及工程灯具,null,null,铜支架 裸版,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X2C2-001.png,HW10-GYHG-X2C2-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWELI-007
8,HW10-GYHG-LED-001,LED灯-瓦楞灯,null,64.00,个,五金杂件及工程灯具,仁力烨升自品牌,9405410000,null,null,null,null,160,800,40,null,五金杂件及工程灯具,null,null,塑料+铝材+LED,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-LED-001.png,HW10-GYHG-LED-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWELI-008
9,HW10-GYHG-X419-001,开关-防溅盒,null,17.00,个,五金杂件及工程灯具,仁力烨升自品牌,3926909090,null,null,null,null,80,80,40,null,五金杂件及工程灯具,null,null,塑料,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X419-001.png,HW10-GYHG-X419-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWHPS-001
10,HW10-GYHG-X1C0-001,插口-网络插座,null,19.00,个,五金杂件及工程灯具,仁力烨升自品牌,8536690000,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X1C0-001.png,HW10-GYHG-X1C0-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWSWI-003
11,HW10-GYHG-X021-001,开关-单控单开,null,26.00,个,五金杂件及工程灯具,仁力烨升自品牌,8536500090,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X021-001.png,HW10-GYHG-X021-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWSWI-004
12,HW10-GYHG-X79D-001,开关-单控双开,null,31.00,个,五金杂件及工程灯具,仁力烨升自品牌,8536500090,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X79D-001.png,HW10-GYHG-X79D-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWSWI-005
13,HW10-GYHG-X7D6-001,开关-单控三开,null,7.00,null,五金杂件及工程灯具,仁力烨升自品牌,8536500090,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X7D6-001.png,HW10-GYHG-X7D6-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWSWI-006
14,HW10-GYHG-X478-001,变压器-线型灯电源,null,21.00,个,五金杂件及工程灯具,仁力烨升自品牌,9405410000,null,null,null,null,80,40,150,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X478-001.png,HW10-GYHG-X478-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWTRA-001
15,HW10-GYHG-X2B8-001,变压器-瓦楞灯电源,null,123.00,个,五金杂件及工程灯具,仁力烨升自品牌,9405410000,null,null,null,null,150,40,60,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-X2B8-001.png,HW10-GYHG-X2B8-001.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-BKCH-HWTRA-002
16,HW10-GYHG-LED-002,LED灯-集成平板灯,null,null,个,五金杂件及工程灯具,仁力烨升自品牌,8539510000,null,null,null,null,\,\,\,null,五金杂件及工程灯具,null,null,塑料+LED,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/HW10-GYHG-LED-002.png,HW10-GYHG-LED-002.png,null,null,null,2026-03-22 05:52:15.146066,2026-03-22 06:18:46.278275,1,null,null,CE11-WHRN-HWELI-007
