id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate
1,MT04-GYHG-X036-001,定制不锈钢踢脚线,,,个,定制金属制品,仁力烨升自品牌,,,,,,依据图纸确定,依据图纸确定,依据图纸确定,,定制金属制品,,,304不锈钢,,,,,,,,,,,
2,MT04-GYHG-X3E7-001,异形定制不锈钢-折弯件,,,个,定制金属制品,仁力烨升自品牌,,,,,,依据图纸确定,依据图纸确定,依据图纸确定,,定制金属制品,,,304不锈钢,,,,,,,,,,,
3,HW10-GYHG-X8F5-001,工程零件-黄铜小钉,,0.11,颗,五金杂件及工程灯具,仁力烨升自品牌,7415290000,,,,,1.5,1.5,15,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
4,HW10-GYHG-MMX-001,装饰零件-11mm黄铜泡钉,,0.43,颗,五金杂件及工程灯具,仁力烨升自品牌,7415290000,,,,,11,11,15,,五金杂件及工程灯具,,,铜锌合金,,,,,,,,,,,
5,HW10-GYHG-XA65-001,装饰零件-柜门拉手,,4,个,五金杂件及工程灯具,仁力烨升自品牌,8302420000,,,,,25,25,2,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
6,HW10-GYHG-X06B-001,定制异形黄铜件-U型黄铜条2m款,,624,根,五金杂件及工程灯具,仁力烨升自品牌,8302410000,,,,,5,10,5,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
7,HW10-GYHG-MMX-002,"祥云拉手 红
古 1200mm",,571,副,五金杂件及工程灯具,仁力烨升自品牌,8302410000,,,,,1200,75,60,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
8,HW10-GYHG-XCDE-001,黄铜条,,86,张,五金杂件及工程灯具,仁力烨升自品牌,8302410000,,,,,160,150,0.5,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
9,HW10-GYHG-XF3D-001,铜角花-L,,26,片,五金杂件及工程灯具,仁力烨升自品牌,8302410000,,,,,80,80,0.8,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
10,HW10-GYHG-X68E-001,铜角花-T,,26,片,五金杂件及工程灯具,仁力烨升自品牌,8302410000,,,,,160,80,0.8,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
11,HW10-GYHG-X07B-001,铜片,,,片,五金杂件及工程灯具,仁力烨升自品牌,8302410000,,,,,依据图纸确定,依据图纸确定,依据图纸确定,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
12,HW10-GYHG-NFMB-001,"工程零件-
阻尼 隐形闭门合页 5寸",,79,片,五金杂件及工程灯具,仁力烨升自品牌,8302300000,,,,,50,30,3,,五金杂件及工程灯具,,,不锈钢,,,,,,,,,,,
13,HW10-GYHG-X745-001,工程零件-折叠门吊轨,,40,米,五金杂件及工程灯具,仁力烨升自品牌,7308900000,,,,,1000,40,40,,五金杂件及工程灯具,,,铝合金,,,,,,,,,,,
14,HW10-GYHG-X7F3-001,工程零件-折叠门滑轮,,79,副,五金杂件及工程灯具,仁力烨升自品牌,8302420000,,,,,80,40,40,,五金杂件及工程灯具,,,不锈钢、锌合金,,,,,,,,,,,
15,HW10-GYHG-X666-001,"装饰零件-
20公分铜狮头",,400,副,五金杂件及工程灯具,仁力烨升自品牌,8302410000,,,,,200,200,5,,五金杂件及工程灯具,,,黄铜,,,,,,,,,,,
16,HW10-GYHG-X515-001,装饰零件-泡钉,,40,个,五金杂件及工程灯具,仁力烨升自品牌,7415290000,,,,,40,40,100,,五金杂件及工程灯具,,,铜锌合金,,,,,,,,,,,
17,HW10-GYHG-X558-001,射钉-F30直钉,,143,件,五金杂件及工程灯具,仁力烨升自品牌,8467190000,,,,,30,10,20,,五金杂件及工程灯具,,,铁,,,,,,,,,,,
18,HW10-GYHG-X428-001,射钉-T50直钉,,93,件,五金杂件及工程灯具,仁力烨升自品牌,8467190000,,,,,50,10,20,,五金杂件及工程灯具,,,铁,,,,,,,,,,,
19,HW10-GYHG-X08B-001,"结构胶-
透明玻璃胶",,264,件,五金杂件及工程灯具,仁力烨升自品牌,3506100010,,,,,220,50,50,,五金杂件及工程灯具,,,胶水,,,,,,,,,,,
20,KT08-GYHG-X29B-001,"厨房设备-
单通工作柜",304材质检测报告,2660,,厨房电器及设备,,9403200000,,,,,1500,760,800,,厨房电器及设备,,,304不锈钢,,,,,,,,,,,
21,KT08-GYHG-X151-001,"厨房设备-
定制打锅架",304材质检测报告,2800,,厨房电器及设备,,9403200000,,,,,1500,760,800,,厨房电器及设备,,,304不锈钢,,,,,,,,,,,
22,KT08-GYHG-SYN-001,"厨房设备-
定制锅架-单通",304材质检测报告,10920,,厨房电器及设备,,9403200000,,,,,1500,760,800,,厨房电器及设备,,,304不锈钢,,,,,,,,,,,
23,KT08-GYHG-SYK-001,"厨房设备-
定制货柜
上掀门",304材质检测报告,2940,,厨房电器及设备,,9403200000,,,,,1500,760,800,,厨房电器及设备,,,304不锈钢,,,,,,,,,,,
