id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate
6,CE11-BKCH-HWELI-006,灯带-线型灯AL-1510,null,null,米,五金杂件及工程灯具,仁力烨升自品牌,9405110000,null,null,null,null,依据图纸确定,依据图纸确定,依据图纸确定,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWELI-006.png,CE11-BKCH-HWELI-006.png,null,null,null,52:15.1,18:46.3,1,null,null
7,CE11-BKCH-HWELI-007,灯带-线型灯灯带,null,null,个,五金杂件及工程灯具,仁力烨升自品牌,9405500000,null,null,null,null,依据图纸确定,依据图纸确定,依据图纸确定,null,五金杂件及工程灯具,null,null,铜支架 裸版,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWELI-007.png,CE11-BKCH-HWELI-007.png,null,null,null,52:15.1,18:46.3,1,null,null
8,CE11-BKCH-HWELI-008,LED灯-瓦楞灯,null,64,个,五金杂件及工程灯具,仁力烨升自品牌,9405410000,null,null,null,null,160,800,40,null,五金杂件及工程灯具,null,null,塑料+铝材+LED,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWELI-008.png,CE11-BKCH-HWELI-008.png,null,null,null,52:15.1,18:46.3,1,null,null
9,CE11-BKCH-HWHPS-001,开关-防溅盒,null,17,个,五金杂件及工程灯具,仁力烨升自品牌,3926909090,null,null,null,null,80,80,40,null,五金杂件及工程灯具,null,null,塑料,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWHPS-001.png,CE11-BKCH-HWHPS-001.png,null,null,null,52:15.1,18:46.3,1,null,null
10,CE11-BKCH-HWSWI-003,插口-网络插座,null,19,个,五金杂件及工程灯具,仁力烨升自品牌,8536690000,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWSWI-003.png,CE11-BKCH-HWSWI-003.png,null,null,null,52:15.1,18:46.3,1,null,null
11,CE11-BKCH-HWSWI-004,开关-单控单开,null,26,个,五金杂件及工程灯具,仁力烨升自品牌,8536500090,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWSWI-004.png,CE11-BKCH-HWSWI-004.png,null,null,null,52:15.1,18:46.3,1,null,null
12,CE11-BKCH-HWSWI-005,开关-单控双开,null,31,个,五金杂件及工程灯具,仁力烨升自品牌,8536500090,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWSWI-005.png,CE11-BKCH-HWSWI-005.png,null,null,null,52:15.1,18:46.3,1,null,null
13,CE11-BKCH-HWSWI-006,开关-单控三开,null,7,null,五金杂件及工程灯具,仁力烨升自品牌,8536500090,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWSWI-006.png,CE11-BKCH-HWSWI-006.png,null,null,null,52:15.1,18:46.3,1,null,null
14,CE11-BKCH-HWTRA-001,变压器-线型灯电源,null,21,个,五金杂件及工程灯具,仁力烨升自品牌,9405410000,null,null,null,null,80,40,150,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWTRA-001.png,CE11-BKCH-HWTRA-001.png,null,null,null,52:15.1,18:46.3,1,null,null
15,CE11-BKCH-HWTRA-002,变压器-瓦楞灯电源,null,123,个,五金杂件及工程灯具,仁力烨升自品牌,9405410000,null,null,null,null,150,40,60,null,五金杂件及工程灯具,null,null,铝材,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-BKCH-HWTRA-002.png,CE11-BKCH-HWTRA-002.png,null,null,null,52:15.1,18:46.3,1,null,null
16,CE11-WHRN-HWELI-007,LED灯-集成平板灯,null,null,个,五金杂件及工程灯具,仁力烨升自品牌,8539510000,null,null,null,null,\,\,\,null,五金杂件及工程灯具,null,null,塑料+LED,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-WHRN-HWELI-007.png,CE11-WHRN-HWELI-007.png,null,null,null,52:15.1,18:46.3,1,null,null
17,CE11-WHRN-HWSWI-001,插座-一开多功能五孔,null,37,个,五金杂件及工程灯具,仁力烨升自品牌,8536690000,null,null,null,null,150,150,5,null,五金杂件及工程灯具,null,null,塑料,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-WHRN-HWSWI-001.png,CE11-WHRN-HWSWI-001.png,null,null,null,52:15.1,18:46.3,1,null,null
18,CE11-WHRN-HWSWI-002,插座-欧标地插,null,13,个,五金杂件及工程灯具,仁力烨升自品牌,8536690000,null,null,null,null,150,100,5,null,五金杂件及工程灯具,null,null,塑料,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CE11-WHRN-HWSWI-002.png,CE11-WHRN-HWSWI-002.png,null,null,null,52:15.1,18:46.3,1,null,null
19,CM03-TRBT-HWGLU-001,结构胶- 透明玻璃胶,null,264,件,五金杂件及工程灯具,仁力烨升自品牌,3506100010,null,null,null,null,220,50,50,null,五金杂件及工程灯具,null,null,胶水,null,https://renli2026.oss-cn-chengdu.aliyuncs.com/materials/五金杂件及工程灯具/CM03-TRBT-HWGLU-001.png,CM03-TRBT-HWGLU-001.png,null,null,null,52:15.1,18:46.3,1,null,null
