id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate,excel_src_row,pic_folder,code_before_cleanup
1,HW10-GYHG-XF46-001,订书机,中号,9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_3B50FB65A7704447B7E81A291D15593E"",1)",,,,,,,,,,2,前厅杂件,HW10-GYHG-XF46-001
2,HW10-GYHG-X6A1-001,订书丁,中号,9,盒,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_F386D20A1CAB4405B3AC161CB845735C"",1)",,,,,,,,,,3,前厅杂件,HW10-GYHG-X6A1-001
3,HW10-GYHG-X6D1-001,涂改液,,3.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_43AC2C864B5D4222810228A1908784D5"",1)",,,,,,,,,,4,前厅杂件,HW10-GYHG-X6D1-001
4,HW10-GYHG-X89D-001,标签贴,,8.5,袋,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_9BB05DB97E52444084D5CEB9F9758A8A"",1)",,,,,,,,,,5,前厅杂件,HW10-GYHG-X89D-001
5,HW10-GYHG-XDF8-001,便利贴,,10.6,盒,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_5321006632A74C66B58B6B872743E22C"",1)",,,,,,,,,,6,前厅杂件,HW10-GYHG-XDF8-001
6,HW10-GYHG-XC5D-001,文件夹,,4.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_52E5494BBB6B4D4C80B4D1817DB2B0D9"",1)",,,,,,,,,,7,前厅杂件,HW10-GYHG-XC5D-001
7,HW10-GYHG-X46A-001,文件袋,,7.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_0A264CEEEFE34526BB33DBF842D8E7E7"",1)",,,,,,,,,,8,前厅杂件,HW10-GYHG-X46A-001
8,HW10-GYHG-XF3F-001,文件盒,,13.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_5D3657D8440545CD889D5E8A0688A67C"",1)",,,,,,,,,,9,前厅杂件,HW10-GYHG-XF3F-001
9,HW10-GYHG-X51C-001,票据传叉针,,11.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_B9A006FC19F64BE8BADF3C4003D95888"",1)",,,,,,,,,,10,前厅杂件,HW10-GYHG-X51C-001
10,HW10-GYHG-X907-001,收银纸,80*80mm,158,件,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_75B52EDB7CEF4B249386DCA780135468"",1)",,,,,,,,,,11,前厅杂件,HW10-GYHG-X907-001
11,HW10-GYHG-X392-001,固定电话,,49,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_3A4C8CE106B44C268F416352252EE91D"",1)",,,,,,,,,,12,前厅杂件,HW10-GYHG-X392-001
