id,code,name,category,_source_xlsx
149,,三层员工水杯架,厨房设备,厨房设备.bak_before_code.xlsx
150,,"电热开水器连底座
(380/9KW)",厨房设备,厨房设备.bak_before_code.xlsx
151,,电子称重台（300KG）,厨房设备,厨房设备.bak_before_code.xlsx
152,,对讲机充电架,厨房设备,厨房设备.bak_before_code.xlsx
153,,高身四门冰箱(双机双温)铜管,厨房设备,厨房设备.bak_before_code.xlsx
154,,燃气高汤炉连柜,厨房设备,厨房设备.bak_before_code.xlsx
155,,不锈钢双面岛式烟罩(灯),厨房设备,厨房设备.bak_before_code.xlsx
156,,双门平台雪柜(冷藏),厨房设备,厨房设备.bak_before_code.xlsx
157,,双层吊架,厨房设备,厨房设备.bak_before_code.xlsx
158,,锅架,厨房设备,厨房设备.bak_before_code.xlsx
159,,挂墙式刀具消毒柜,厨房设备,厨房设备.bak_before_code.xlsx
160,,双门平台雪柜(冷藏),厨房设备,厨房设备.bak_before_code.xlsx
161,,双层挂墙架,厨房设备,厨房设备.bak_before_code.xlsx
162,,单星盆连垃圾车(弧形挡水板),厨房设备,厨房设备.bak_before_code.xlsx
163,,双层挂墙架,厨房设备,厨房设备.bak_before_code.xlsx
164,,双门平台雪柜(冷藏),厨房设备,厨房设备.bak_before_code.xlsx
165,,双层挂墙架,厨房设备,厨房设备.bak_before_code.xlsx
166,,灭蝇灯,厨房设备,厨房设备.bak_before_code.xlsx
167,,单通掀门打荷台,厨房设备,厨房设备.bak_before_code.xlsx
168,,双层吊架,厨房设备,厨房设备.bak_before_code.xlsx
169,,嵌入式毛巾消毒架,厨房设备,厨房设备.bak_before_code.xlsx
170,,14寸全自动落地式刨片机,厨房设备,厨房设备.bak_before_code.xlsx
171,,双门平台雪柜(冷藏),厨房设备,厨房设备.bak_before_code.xlsx
172,,双层挂墙架,厨房设备,厨房设备.bak_before_code.xlsx
173,,分体式制冰机(350KG-雪花冰),厨房设备,厨房设备.bak_before_code.xlsx
174,,不锈钢工作台开孔,厨房设备,厨房设备.bak_before_code.xlsx
175,,垃圾桶,厨房设备,厨房设备.bak_before_code.xlsx
176,,即热式电热水器（6KW）,厨房设备,厨房设备.bak_before_code.xlsx
177,,油水分离一体机(加热),厨房设备,厨房设备.bak_before_code.xlsx
178,,超声波洗碗机,厨房设备,厨房设备.bak_before_code.xlsx
179,,通道式洗碗机,厨房设备,厨房设备.bak_before_code.xlsx
180,,不锈钢油网烟罩,厨房设备,厨房设备.bak_before_code.xlsx
181,,洁碟台,厨房设备,厨房设备.bak_before_code.xlsx
182,,锅架,厨房设备,厨房设备.bak_before_code.xlsx
183,,高身三门掀门碗柜,厨房设备,厨房设备.bak_before_code.xlsx
184,,燃气单门8盘蒸饭车,厨房设备,厨房设备.bak_before_code.xlsx
185,,炒灶拼台柜,厨房设备,厨房设备.bak_before_code.xlsx
186,,燃气单头单尾小炒灶,厨房设备,厨房设备.bak_before_code.xlsx
187,,电热双缸双筛炸炉连柜,厨房设备,厨房设备.bak_before_code.xlsx
188,,不锈钢油网烟罩(防爆灯),厨房设备,厨房设备.bak_before_code.xlsx
189,,不锈钢台面,厨房设备,厨房设备.bak_before_code.xlsx
190,,双门平台雪柜(冷藏),厨房设备,厨房设备.bak_before_code.xlsx
191,,双层吊架,厨房设备,厨房设备.bak_before_code.xlsx
192,,不锈钢隔热封板,厨房设备,厨房设备.bak_before_code.xlsx
193,,电磁蒸炉,厨房设备,厨房设备.bak_before_code.xlsx
194,,拖把池带背（挂钩）,厨房设备,厨房设备.bak_before_code.xlsx
195,,全自动波轮洗衣机(8KG),厨房设备,厨房设备.bak_before_code.xlsx
196,,排烟风柜-380V/5.5KW(明档),厨房设备,厨房设备.bak_before_code.xlsx
197,,排烟风柜-380V/5.5KW(后厨),厨房设备,厨房设备.bak_before_code.xlsx
198,,抽油烟机支架,厨房设备,厨房设备.bak_before_code.xlsx
199,,风机减振器,厨房设备,厨房设备.bak_before_code.xlsx
200,,电子油烟净化器-220V/1KW,厨房设备,厨房设备.bak_before_code.xlsx
201,,油烟处理器支架,厨房设备,厨房设备.bak_before_code.xlsx
202,,排烟风柜启动控制箱,厨房设备,厨房设备.bak_before_code.xlsx
203,,防火阀,厨房设备,厨房设备.bak_before_code.xlsx
204,,风管软接,厨房设备,厨房设备.bak_before_code.xlsx
205,,抽油烟镀锌管,厨房设备,厨房设备.bak_before_code.xlsx
206,,员工饭碗,五金杂件,后厨杂件.bak_before_code.xlsx
207,,员工水杯,五金杂件,后厨杂件.bak_before_code.xlsx
208,,深不锈钢托盘,五金杂件,后厨杂件.bak_before_code.xlsx
209,,浅不锈钢托盘,五金杂件,后厨杂件.bak_before_code.xlsx
210,,不锈钢盆,五金杂件,后厨杂件.bak_before_code.xlsx
211,,不锈钢盆,五金杂件,后厨杂件.bak_before_code.xlsx
212,,不锈钢盆,五金杂件,后厨杂件.bak_before_code.xlsx
213,,蓝色数字方巾,五金杂件,后厨杂件.bak_before_code.xlsx
214,,棕色数字方巾,五金杂件,后厨杂件.bak_before_code.xlsx
